collection,date,network,signature,status
test-mech,2026-08-11T15:18:11.669Z,mainnet,2FiQSQz5CiUxfsvsMuikKNC4jvg91tcctYKGnoVMTGZXnrnis7M4Z1J6gjiNqcndbha16knc8ENM68YffRWvpKpR,success
test-mech-a,2026-08-11T15:22:52.501Z,mainnet,3Uop66KXJDwcBJCGBGysK6bPVaQN698CjTn5Eo3ted7wX6exyhPhJUAYwebMJhgb3bp6Z64vGQtKDDBpH3EUCGz2,success
test-mech-b,2026-08-11T15:27:43.597Z,mainnet,3fkQBqP8QGWVBxt8nh694CeZ9cuKkemrmNSSiVBjyGPnzvfZAjfQFvsK1b9tZj3Xh71iGXLNEpRbQFNLi1aHF42L,success
campaign:test-combined-check,2026-08-11T15:36:21.524Z,mainnet,4QbjY4ujn2wrFFZvQ3xjHHR9BviBxg4fEmgwtfsbfrZSnQ5TdoviFXY78dxdYYCo24EszyDBeRnAfWv9TGVxP5L8,success
test-mech-b:TEST-002,2026-08-11T21:07:58.548Z,mainnet,2gFydW6FpM5RHjUHcSTEPSLztfZ38h8fSbbGR6UCLreAAtUm7ZxsBETjGgyv4i6KYXWvyrGYgXycij1QcikscfeR,success
test-mech,2026-08-14T14:07:16.726Z,mainnet,4gtGd5kzj6wzRc3cqK2MYXENvDr5XbaTQ8tSTWiigX9RGPrMH2CmZNpUrjgPnuPxd8ckkVQay1KMGF5urQaq2RMS,success
test-mech:TEST-003,2026-08-14T14:08:41.620Z,mainnet,5FHkNg1g7Z7rTU6wTLLr71nAWMZR1321tYj4vsf8VDhXm7JPw798o3mqsvFGBMxLYwhsYzgomGDw2bb4kk8o7d7g,success
test-mech:TEST-004,2026-08-14T14:08:54.084Z,mainnet,4hgroiHfuPm3Tq7caVsFtRDjj5gdDQ7feVPYYuYbdnMyq7aZpRPjPPnyMA6o3WQnCEKNeG5cjd2kHjRDt6nFZyVD,success
campaign:test-mech-c-reward,2026-08-14T14:11:23.368Z,mainnet,fQBNqUqxfyagfwPJ7X1h98zmhbNEUHRf8kfw7rK1ZdCRuymAww6rTmm48mYh9wr3txp8mqvrBuSu6shhMYNDTyY,success
campaign:test-mech-d-reward,2026-08-14T14:11:45.682Z,mainnet,2rfLENzozC54d9bgY6AA68DpDCXjtKgVeiTNe3iBWe6rH68ko4WKWExoNLvHRjpKcP8e1kRFdYWsaMZVo3L2oHhM,success
